"","alpha","g_ratio","g_ratio_sd","type"
"1",0,0.0289,0.0069790896474893,"Betw Targeted"
"2",0.05,0.033775,0.0151174673974453,"Betw Targeted"
"3",0.1,0.4006,0.467949087741336,"Betw Targeted"
"4",0.2,0.997,0,"Betw Targeted"
"5",0.3,0.997,0,"Betw Targeted"
"6",0.4,0.997,0,"Betw Targeted"
"7",0.5,0.997,0,"Betw Targeted"
"8",0.6,0.997,0,"Betw Targeted"
"9",0.7,0.997,0,"Betw Targeted"
"10",0.8,0.997,0,"Betw Targeted"
"11",0.9,0.997,0,"Betw Targeted"
"12",1,0.997,0,"Betw Targeted"
"13",1.1,0.997,0,"Betw Targeted"
"14",1.2,0.997,0,"Betw Targeted"
"15",1.5,0.997,0,"Betw Targeted"
"16",0,0.030175,0.00904373277823392,"Random"
"17",0.05,0.060825,0.154012468276485,"Random"
"18",0.1,0.903,0.291081361434151,"Random"
"19",0.2,0.999,0,"Random"
"20",0.3,0.999,0,"Random"
"21",0.4,0.999,0,"Random"
"22",0.5,0.999,0,"Random"
"23",0.6,0.999,0,"Random"
"24",0.7,0.999,0,"Random"
"25",0.8,0.999,0,"Random"
"26",0.9,0.999,0,"Random"
"27",1,0.999,0,"Random"
"28",1.1,0.999,0,"Random"
"29",1.2,0.999,0,"Random"
"30",1.5,0.999,0,"Random"
"31",0,0.027175,0.00550471825590766,"Deg targeted"
"32",0.05,0.033325,0.0172394709598166,"Deg targeted"
"33",0.1,0.90205,0.294054586769192,"Deg targeted"
"34",0.2,0.998975,0.000158113883008419,"Deg targeted"
"35",0.3,0.999,0,"Deg targeted"
"36",0.4,0.999,0,"Deg targeted"
"37",0.5,0.999,0,"Deg targeted"
"38",0.6,0.999,0,"Deg targeted"
"39",0.7,0.999,0,"Deg targeted"
"40",0.8,0.999,0,"Deg targeted"
"41",0.9,0.999,0,"Deg targeted"
"42",1,0.999,0,"Deg targeted"
"43",1.1,0.999,0,"Deg targeted"
"44",1.2,0.999,0,"Deg targeted"
"45",1.5,0.999,0,"Deg targeted"
